epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,lr
1,419,1.795490,1.795490,90.9937,0.000000,0.000000,0.000000,0.000000,0.00100000
1,420,1.726532,1.726532,91.0827,0.000000,0.000000,0.000000,0.000000,0.00100000
1,421,2.343142,2.343142,81.1680,0.000000,0.000000,0.000000,0.000000,0.00100000
1,422,2.002976,2.002976,78.1807,0.000000,0.000000,0.000000,0.000000,0.00100000
1,459,1.812187,1.812187,90.4522,0.000000,0.000000,0.000000,0.000000,0.00100000
1,460,1.887270,1.887270,88.9509,0.000000,0.000000,0.000000,0.000000,0.00100000
1,461,2.145134,2.145134,109.7218,0.000000,0.000000,0.000000,0.000000,0.00100000
1,462,1.759968,1.759968,104.5561,0.000000,0.000000,0.000000,0.000000,0.00100000
1,463,1.745789,1.745789,75.0695,0.000000,0.000000,0.000000,0.000000,0.00100000
1,464,1.812632,1.812632,73.5194,0.000000,0.000000,0.000000,0.000000,0.00100000
1,501,2.985515,2.985515,86.2303,0.000000,0.000000,0.000000,0.000000,0.00100000
1,502,2.242339,2.242339,85.4589,0.000000,0.000000,0.000000,0.000000,0.00100000
1,503,2.180242,2.180242,95.4304,0.000000,0.000000,0.000000,0.000000,0.00100000
1,504,1.822571,1.822571,93.5879,0.000000,0.000000,0.000000,0.000000,0.00100000
1,505,2.326705,2.326705,117.6432,0.000000,0.000000,0.000000,0.000000,0.00100000
1,506,1.809557,1.809557,120.6443,0.000000,0.000000,0.000000,0.000000,0.00100000
1,542,1.823056,1.823056,76.8131,0.000000,0.000000,0.000000,0.000000,0.00100000
1,543,1.769845,1.769845,91.7807,0.000000,0.000000,0.000000,0.000000,0.00100000
1,544,1.639903,1.639903,87.9320,0.000000,0.000000,0.000000,0.000000,0.00100000
1,545,1.606228,1.606228,98.2817,0.000000,0.000000,0.000000,0.000000,0.00100000
1,546,1.741976,1.741976,117.2923,0.000000,0.000000,0.000000,0.000000,0.00100000
1,547,2.289550,2.289550,102.5711,0.000000,0.000000,0.000000,0.000000,0.00100000
1,584,2.281745,2.281745,99.2809,0.000000,0.000000,0.000000,0.000000,0.00100000
1,585,1.809444,1.809444,107.7442,0.000000,0.000000,0.000000,0.000000,0.00100000
1,586,1.786331,1.786331,106.3112,0.000000,0.000000,0.000000,0.000000,0.00100000
1,587,1.540905,1.540905,99.0727,0.000000,0.000000,0.000000,0.000000,0.00100000
1,588,1.739304,1.739304,83.0874,0.000000,0.000000,0.000000,0.000000,0.00100000
1,589,1.648747,1.648747,90.7860,0.000000,0.000000,0.000000,0.000000,0.00100000
1,626,1.804222,1.804222,85.0585,0.000000,0.000000,0.000000,0.000000,0.00100000
1,627,1.992809,1.992809,85.1607,0.000000,0.000000,0.000000,0.000000,0.00100000
1,628,1.585814,1.585814,92.3141,0.000000,0.000000,0.000000,0.000000,0.00100000
1,629,1.504895,1.504895,95.9601,0.000000,0.000000,0.000000,0.000000,0.00100000
1,630,1.885178,1.885178,89.5246,0.000000,0.000000,0.000000,0.000000,0.00100000
1,631,2.446090,2.446090,108.9923,0.000000,0.000000,0.000000,0.000000,0.00100000
1,667,3.107273,3.107273,113.4791,0.000000,0.000000,0.000000,0.000000,0.00100000
1,668,1.465582,1.465582,87.0312,0.000000,0.000000,0.000000,0.000000,0.00100000
1,669,1.408407,1.408407,79.4781,0.000000,0.000000,0.000000,0.000000,0.00100000
1,670,1.884501,1.884501,107.0594,0.000000,0.000000,0.000000,0.000000,0.00100000
1,671,1.438689,1.438689,101.8046,0.000000,0.000000,0.000000,0.000000,0.00100000
1,672,1.760900,1.760900,101.7846,0.000000,0.000000,0.000000,0.000000,0.00100000
1,709,2.303035,2.303035,88.7894,0.000000,0.000000,0.000000,0.000000,0.00100000
1,710,1.627297,1.627297,99.5462,0.000000,0.000000,0.000000,0.000000,0.00100000
1,711,1.446834,1.446834,88.2235,0.000000,0.000000,0.000000,0.000000,0.00100000
1,712,1.487033,1.487033,89.9906,0.000000,0.000000,0.000000,0.000000,0.00100000
1,713,1.334942,1.334942,90.1846,0.000000,0.000000,0.000000,0.000000,0.00100000
1,714,1.499794,1.499794,106.4988,0.000000,0.000000,0.000000,0.000000,0.00100000
1,751,1.725091,1.725091,91.7800,0.000000,0.000000,0.000000,0.000000,0.00100000
1,752,1.658221,1.658221,95.4729,0.000000,0.000000,0.000000,0.000000,0.00100000
1,753,1.900544,1.900544,84.0187,0.000000,0.000000,0.000000,0.000000,0.00100000
1,754,1.423685,1.423685,93.1844,0.000000,0.000000,0.000000,0.000000,0.00100000
1,755,1.470523,1.470523,103.0274,0.000000,0.000000,0.000000,0.000000,0.00100000
1,756,1.430562,1.430562,112.7137,0.000000,0.000000,0.000000,0.000000,0.00100000
1,792,1.412497,1.412497,82.3605,0.000000,0.000000,0.000000,0.000000,0.00100000
1,793,1.736153,1.736153,97.1817,0.000000,0.000000,0.000000,0.000000,0.00100000
1,794,1.960269,1.960269,116.9616,0.000000,0.000000,0.000000,0.000000,0.00100000
1,795,1.473915,1.473915,103.7480,0.000000,0.000000,0.000000,0.000000,0.00100000
1,796,1.495021,1.495021,102.7304,0.000000,0.000000,0.000000,0.000000,0.00100000
1,797,1.502991,1.502991,92.6443,0.000000,0.000000,0.000000,0.000000,0.00100000
1,834,1.768674,1.768674,107.4961,0.000000,0.000000,0.000000,0.000000,0.00100000
1,835,1.445945,1.445945,94.0090,0.000000,0.000000,0.000000,0.000000,0.00100000
1,836,1.374155,1.374155,81.3436,0.000000,0.000000,0.000000,0.000000,0.00100000
1,837,1.399804,1.399804,96.9012,0.000000,0.000000,0.000000,0.000000,0.00100000
1,838,1.430375,1.430375,82.9072,0.000000,0.000000,0.000000,0.000000,0.00100000
1,839,1.284284,1.284284,77.4908,0.000000,0.000000,0.000000,0.000000,0.00100000
1,876,1.796776,1.796776,106.0744,0.000000,0.000000,0.000000,0.000000,0.00100000
1,877,1.950217,1.950217,116.2135,0.000000,0.000000,0.000000,0.000000,0.00100000
1,878,1.419000,1.419000,98.4604,0.000000,0.000000,0.000000,0.000000,0.00100000
1,879,1.421314,1.421314,105.6777,0.000000,0.000000,0.000000,0.000000,0.00100000
1,880,1.498913,1.498913,88.0129,0.000000,0.000000,0.000000,0.000000,0.00100000
1,881,1.247632,1.247632,92.7548,0.000000,0.000000,0.000000,0.000000,0.00100000
1,917,1.542270,1.542270,82.7125,0.000000,0.000000,0.000000,0.000000,0.00100000
