epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,lr
1,60,6.322633,0.000176,47.3767,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,61,6.222910,0.000145,45.9081,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,62,5.318217,0.000131,60.4407,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,63,5.712173,0.000146,40.8420,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,64,5.213359,0.000109,41.7355,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,65,5.684084,0.000113,60.7358,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,66,5.053459,0.000119,47.3563,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,67,5.753912,0.000121,67.1580,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,68,5.379960,0.000135,59.4062,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,69,6.504676,0.000133,43.2541,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,70,5.373230,0.000136,51.3984,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,71,6.226484,0.000134,59.2179,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,72,5.272694,0.000126,47.5352,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,73,5.875192,0.000143,54.6772,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,74,6.182076,0.000136,77.7267,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,75,5.043127,0.000119,41.0779,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,76,6.175955,0.000149,84.9442,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,77,5.477909,0.000126,56.9954,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,78,5.326962,0.000100,50.8151,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,79,5.071730,0.000109,42.2581,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,80,5.928576,0.000110,80.2539,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,81,5.434576,0.000156,65.0554,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,82,5.895134,0.000147,43.3032,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,83,5.853325,0.000154,43.7034,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
